Patente|Pedimento|SeccionAduanera|TipoFecha|FechaOperacion|FechaValidacionPagoR
3129|1007242|170|2|2022-01-05|2022-01-05 15:18:01|
3251|2000020|160|2|2022-01-04|2022-01-04 13:53:02|
3129|1007241|170|5|2021-12-01|2022-01-05 16:58:00|
3129|1007258|170|5|2021-12-01|2022-01-12 17:24:01|
3251|2000163|160|2|2022-01-13|2022-01-13 16:07:01|
3251|2000023|160|1|2022-01-02|2022-01-04 16:25:03|
3129|1007251|170|5|2021-12-01|2022-01-11 12:45:00|
3172|2000087|640|1|2022-01-17|2022-01-21 16:02:01|
3251|2000027|160|2|2022-01-04|2022-01-04 14:00:01|
3251|2000161|160|1|2022-01-11|2022-01-13 16:09:00|
3129|1007244|170|5|2021-12-01|2022-01-17 18:23:00|
3129|2000106|240|2|2022-01-19|2022-01-19 13:20:32|
3251|2000100|160|1|2022-01-06|2022-01-07 16:32:11|
3172|2000016|640|1|2022-01-04|2022-01-05 15:51:05|
3251|2000023|160|2|2022-01-04|2022-01-04 16:25:03|
3251|2000162|160|1|2022-01-11|2022-01-13 17:02:02|
3129|1007238|170|5|2021-12-01|2022-01-14 16:21:01|
3251|2000025|160|2|2022-01-04|2022-01-04 16:26:01|
3251|2000022|160|1|2022-01-02|2022-01-04 16:25:02|
3251|2000162|160|2|2022-01-13|2022-01-13 17:02:02|
3251|2000026|160|1|2022-01-02|2022-01-04 13:53:03|
3129|1007241|170|2|2022-01-05|2022-01-05 16:58:00|
3251|2000165|160|2|2022-01-13|2022-01-13 16:08:01|
3129|1007240|170|5|2021-12-01|2022-01-06 18:14:00|
3172|2000002|640|1|2021-12-31|2022-01-05 15:51:05|
3129|1007246|170|5|2021-12-01|2022-01-17 09:26:00|
3129|1007247|170|2|2022-01-13|2022-01-13 12:08:00|
3129|1007239|170|5|2021-12-01|2022-01-07 10:45:00|
3251|2000019|160|2|2022-01-04|2022-01-04 13:53:01|
3129|2001413|170|5|2022-01-18|2022-01-18 15:30:00|
3251|2000019|160|1|2022-01-02|2022-01-04 13:53:01|
3251|2000024|160|1|2022-01-02|2022-01-04 16:26:01|
3129|1007253|170|5|2021-12-01|2022-01-17 09:30:01|
3129|1007236|170|5|2021-12-01|2022-01-18 17:18:02|
3129|1007251|170|2|2022-01-11|2022-01-11 12:45:00|
3251|2000022|160|2|2022-01-04|2022-01-04 16:25:02|
3129|1007242|170|5|2021-12-01|2022-01-05 15:18:01|
3172|2000016|640|2|2022-01-05|2022-01-05 15:51:05|
3129|1007246|170|2|2022-01-17|2022-01-17 09:26:00|
3251|2000025|160|1|2022-01-02|2022-01-04 16:26:01|
3129|1007245|170|5|2021-12-01|2022-01-12 08:54:01|
3129|1007253|170|2|2022-01-17|2022-01-17 09:30:01|
3129|2001413|170|2|2022-01-18|2022-01-18 15:30:00|
3129|1007245|170|2|2022-01-12|2022-01-12 08:54:01|
3129|1007258|170|2|2022-01-12|2022-01-12 17:24:01|
3251|2000021|160|1|2022-01-02|2022-01-04 16:25:01|
3172|2000087|640|2|2022-01-21|2022-01-21 16:02:01|
3251|2000165|160|1|2022-01-11|2022-01-13 16:08:01|
3129|1007247|170|5|2021-12-01|2022-01-13 12:08:00|
3129|1007236|170|2|2022-01-18|2022-01-18 17:18:02|
3129|1007239|170|2|2022-01-07|2022-01-07 10:45:00|
3129|1007240|170|2|2022-01-06|2022-01-06 18:14:00|
3251|2000099|160|2|2022-01-07|2022-01-07 16:17:01|
3251|2000164|160|1|2022-01-11|2022-01-13 16:08:00|
3251|2000021|160|2|2022-01-04|2022-01-04 16:25:01|
3129|1007243|170|5|2021-12-01|2022-01-06 15:25:00|
3251|2000027|160|1|2022-01-02|2022-01-04 14:00:01|
3251|2000020|160|1|2022-01-02|2022-01-04 13:53:02|
3251|2000161|160|2|2022-01-13|2022-01-13 16:09:00|
3251|2000099|160|1|2022-01-06|2022-01-07 16:17:01|
3129|1007244|170|2|2022-01-17|2022-01-17 18:23:00|
3251|2000100|160|2|2022-01-07|2022-01-07 16:32:11|
3251|2000026|160|2|2022-01-04|2022-01-04 13:53:03|
3129|1007238|170|2|2022-01-14|2022-01-14 16:21:01|
3129|1007243|170|2|2022-01-06|2022-01-06 15:25:00|
3129|1007252|170|2|2022-01-12|2022-01-12 08:54:01|
3129|1007252|170|5|2021-12-01|2022-01-12 08:54:01|
3172|2000002|640|2|2022-01-05|2022-01-05 15:51:05|
3251|2000024|160|2|2022-01-04|2022-01-04 16:26:01|
3251|2000163|160|1|2022-01-11|2022-01-13 16:07:01|
3251|2000164|160|2|2022-01-13|2022-01-13 16:08:00|
3129|2000106|240|1|2022-01-19|2022-01-19 13:20:32|
