Patente|Pedimento|SeccionAduanera|SecuenciaObservacion|Observaciones|TipoPedimento|FechaValidacionPagoR
3251|2000025|160|4|SE ANEXAN DOCUMENTOS NECESARIOS PARA EL DESPACHO:|1|2022-01-04 16:26:01|
3251|2000100|160|4|SE ANEXAN DOCUMENTOS NECESARIOS PARA EL DESPACHO:|1|2022-01-07 16:32:11|
3251|2000161|160|3|COMERCIO EXTERIOR Y SUS ANEXOS.|1|2022-01-13 16:09:00|
3251|2000024|160|4|SE ANEXAN DOCUMENTOS NECESARIOS PARA EL DESPACHO:|1|2022-01-04 16:26:01|
3129|1007244|170|1|ESTA OPERACION ES EFECTUADA DE CONFORMIDAD CON LA REGLA 1.6.17, 5.2.6, 5.2.7 Y 4.3.21 DE LAS RGCE,  ARTICULOS 105, 112 L|1|2022-01-17 18:23:00|
3251|2000162|160|7|EL CONTENEDOR  GESU5528720 CON 20026.07KGS Y 38 PALLET SE RELACIONA CON EL PEDIMENTO 22 16 3251 2000161. FECHA DE PAGO|1|2022-01-13 17:02:02|
3251|2000161|160|4|SE ANEXAN DOCUMENTOS NECESARIOS PARA EL DESPACHO:|1|2022-01-13 16:09:00|
3129|1007251|170|1|ARTICULOS 54, 102 Y 112 DE LA LEY ADUANERA, REGLAS 3.1.15. FRACC. IV, 4.3.21., 5.2.5., 5.2.6. DE LAS REGLAS GENERALES DE|1|2022-01-11 12:45:00|
3251|2000025|160|1|IMPORTACION AL AMPARO DEL ART. 54 FRACC. I, II, III Y IV DE LA LEY ADUANERA.|1|2022-01-04 16:26:01|
3251|2000026|160|2|DE CONFORMIDAD CON EL ART. 36 Y 36-A DE LA LEY ADUANERA Y REGLA 1.9.18 DE LAS REGLAS DE CARACTER GENERAL EN MATERIA DE|1|2022-01-04 13:53:03|
3129|1007246|170|2|166 RLA. SE RELACIONA CON PEDIMENTO DE IMPORTACION No. 21 80 1634 1001997 ESTA OPERACION AMPARA LAS TRANSFERENCIAS EFECT|1|2022-01-17 09:26:00|
3129|1007239|170|4|1231;31-12-2021;;USD;49,989.860|1|2022-01-07 10:45:00|
3251|2000019|160|7|LOS CONTENEDORES TRLU6706898 Y TRHU5461621 CON UN PESO DE 39452.59KGS Y 78 PALLETS SE RELACIONA CON EL PEDIMENTO 22 16|1|2022-01-04 13:53:01|
3251|2000020|160|4|SE ANEXAN DOCUMENTOS NECESARIOS PARA EL DESPACHO:|1|2022-01-04 13:53:02|
3251|2000162|160|6|EN BASE AL ARTICULO 65 DEL REGLAMENTO DE LA LEY ADUANERA SE SUBDIVIDE BL TWN0621326, SALIENDO CON EL PRESENTE PEDIMENTO|1|2022-01-13 17:02:02|
3129|1007253|170|2|LA. y ART. 166 RLA. SE RELACIONA CON PEDIMENTO DE IMPORTACION No. 21 80 1634 1001998 ESTA OPERACION AMPARA LAS TRANSFERE|1|2022-01-17 09:30:01|
3251|2000025|160|2|DE CONFORMIDAD CON EL ART. 36 Y 36-A DE LA LEY ADUANERA Y REGLA 1.9.18 DE LAS REGLAS DE CARACTER GENERAL EN MATERIA DE|1|2022-01-04 16:26:01|
3251|2000162|160|8|13/01/2022|1|2022-01-13 17:02:02|
3129|1007238|170|1|OPERACION VIRTUAL REALIZADA BAJO EL AMPARO DE LA REGLA 1.6.17., 5.2.6 FRACCION I, 5.2.7 Y 4.3.21 DE LAS RGCE ENTRE LA EM|1|2022-01-14 16:21:01|
3251|2000019|160|1|IMPORTACION AL AMPARO DEL ART. 54 FRACC. I, II, III Y IV DE LA LEY ADUANERA.|1|2022-01-04 13:53:01|
3129|1007246|170|4|USD;113,567.340|1|2022-01-17 09:26:00|
3129|1007239|170|2|, 112 LA. y ART. 166 RLA. SE RELACIONA CON PEDIMENTO DE IMPORTACION No. 21 17 3129 1007270 ESTA OPERACION AMPARA LAS TRA|1|2022-01-07 10:45:00|
3251|2000020|160|7|EL CONTENEDOR TCNU4289474 CON UN PESO DE 20006.55KGS Y 39 PALLETS SE RELACIONA CON EL PEDIMENTO 22 16 3251 2000019.|1|2022-01-04 13:53:02|
3251|2000161|160|6|EN BASE AL ARTICULO 65 DEL REGLAMENTO DE LA LEY ADUANERA SE SUBDIVIDE BL TWN0621326, SALIENDO CON EL PRESENTE PEDIMENTO|1|2022-01-13 16:09:00|
3251|2000020|160|3|COMERCIO EXTERIOR Y SUS ANEXOS.|1|2022-01-04 13:53:02|
3129|1007244|170|3|CIAS EFECTUADAS DURANTE EL MES DE DICIEMBRE DEL 2021 - - Relacion de facturas - - FACTR: NES LIMITED;27-931864;FAU-21123|1|2022-01-17 18:23:00|
3129|1007258|170|2|ICULOS 105, 112 LA. y ART. 166 RLA. SE RELACIONA CON PEDIMENTO DE IMPORTACION No. 21 24 3444 1006498 ESTA OPERACION AMPA|1|2022-01-12 17:24:01|
