Patente|Pedimento|SeccionAduanera|PatenteAduanalOrig|PedimentoOriginal|SeccionAduaneraDespOrig|DocumentoOriginal|FechaOperacionOrig|FraccionOriginal|UnidadMedida|MercanciaDescargada|TipoPedimento|FechaPagoReal
3129|1007244|170|3076|1111120|750|V1|2022-01-17|73269099|6|12900.000|1|2022-01-17 18:23:00|
3129|1007236|170|3076|1113771|750|V1|2022-01-18|73181506|6|49800.000|1|2022-01-18 17:18:02|
3129|1007236|170|3076|1113771|750|V1|2022-01-18|73181503|6|109600.000|1|2022-01-18 17:18:02|
3129|1007236|170|3076|1113771|750|V1|2022-01-18|73181603|6|951820.000|1|2022-01-18 17:18:02|
3129|2001413|170|3503|2000647|810|V1|2022-01-17|73182999|6|64000.000|1|2022-01-18 15:30:00|
3129|1007236|170|3076|1113771|750|V1|2022-01-18|73269099|6|135025.000|1|2022-01-18 17:18:02|
3129|1007253|170|1634|1001998|800|V1|2022-01-14|73269099|6|68435.000|1|2022-01-17 09:30:01|
3129|1007243|170|3589|1008382|640|V1|2022-01-06|73269099|6|160000.000|1|2022-01-06 15:25:00|
3129|1007238|170|3694|1079269|750|V1|2022-01-14|73181603|6|824960.000|1|2022-01-14 16:21:01|
3129|1007246|170|1634|1001997|800|V1|2022-01-14|73181599|6|39840.000|1|2022-01-17 09:26:00|
3129|1007239|170|3129|1007270|170|V1|2022-01-07|73181503|6|141500.000|1|2022-01-07 10:45:00|
3129|1007243|170|3589|1008382|640|V1|2022-01-06|73181503|6|191700.000|1|2022-01-06 15:25:00|
3129|1007247|170|3694|1079291|750|V1|2022-01-10|73181603|6|116700.000|1|2022-01-13 12:08:00|
3129|1007244|170|3076|1111120|750|V1|2022-01-17|73182399|6|368300.000|1|2022-01-17 18:23:00|
3129|1007242|170|3076|1113357|750|V1|2022-01-05|87082999|6|2400.000|1|2022-01-05 15:18:01|
3129|1007240|170|3129|1007286|170|V1|2022-01-06|73181503|6|110500.000|1|2022-01-06 18:14:00|
3129|1007245|170|3770|1018695|520|V1|2022-01-11|73181503|6|2400.000|1|2022-01-12 08:54:01|
3129|1007241|170|3076|1113550|750|V1|2022-01-05|73182399|6|269000.000|1|2022-01-05 16:58:00|
3129|1007244|170|3076|1111120|750|V1|2022-01-17|73182299|6|222300.000|1|2022-01-17 18:23:00|
3129|1007247|170|3694|1079291|750|V1|2022-01-10|73181503|6|49000.000|1|2022-01-13 12:08:00|
3129|1007252|170|3076|1077259|750|V1|2022-01-11|73181603|6|77400.000|1|2022-01-12 08:54:01|
3129|1007239|170|3129|1007270|170|V1|2022-01-07|73181603|6|1722340.000|1|2022-01-07 10:45:00|
3129|1007238|170|3694|1079269|750|V1|2022-01-14|73181503|6|501100.000|1|2022-01-14 16:21:01|
3129|1007243|170|3589|1008382|640|V1|2022-01-06|73181603|6|743400.000|1|2022-01-06 15:25:00|
3129|1007239|170|3129|1007270|170|V1|2022-01-07|73181506|6|1500.000|1|2022-01-07 10:45:00|
3129|1007245|170|3770|1018695|520|V1|2022-01-11|73269099|6|21000.000|1|2022-01-12 08:54:01|
3129|1007236|170|3076|1113771|750|V1|2022-01-18|73181507|6|69960.000|1|2022-01-18 17:18:02|
3129|1007244|170|3076|1111120|750|V1|2022-01-17|73182199|6|31500.000|1|2022-01-17 18:23:00|
3129|1007245|170|3770|1018695|520|V1|2022-01-11|73181603|6|14000.000|1|2022-01-12 08:54:01|
3129|1007238|170|3694|1079269|750|V1|2022-01-14|73181604|6|24350.000|1|2022-01-14 16:21:01|
3129|1007244|170|3076|1111120|750|V1|2022-01-17|73181503|6|943750.000|1|2022-01-17 18:23:00|
3129|1007242|170|3076|1113357|750|V1|2022-01-05|73181603|6|149500.000|1|2022-01-05 15:18:01|
3129|1007240|170|3129|1007286|170|V1|2022-01-06|73181603|6|622750.000|1|2022-01-06 18:14:00|
3129|1007246|170|1634|1001997|800|V1|2022-01-14|73269099|6|148970.000|1|2022-01-17 09:26:00|
3129|1007247|170|3694|1079291|750|V1|2022-01-10|73181599|6|26000.000|1|2022-01-13 12:08:00|
3129|1007247|170|3694|1079291|750|V1|2022-01-10|73269099|6|263100.000|1|2022-01-13 12:08:00|
3129|1007243|170|3589|1008382|640|V1|2022-01-06|73181506|6|61000.000|1|2022-01-06 15:25:00|
3129|1007246|170|1634|1001997|800|V1|2022-01-14|73181603|6|201850.000|1|2022-01-17 09:26:00|
3129|1007241|170|3076|1113550|750|V1|2022-01-05|73181503|6|171600.000|1|2022-01-05 16:58:00|
3129|1007241|170|3076|1113550|750|V1|2022-01-05|73269099|6|12000.000|1|2022-01-05 16:58:00|
3129|1007245|170|3770|1018695|520|V1|2022-01-11|73182399|6|6000.000|1|2022-01-12 08:54:01|
3129|1007242|170|3076|1113357|750|V1|2022-01-05|73181503|6|111900.000|1|2022-01-05 15:18:01|
3129|1007244|170|3076|1111120|750|V1|2022-01-17|94019099|6|1452.000|1|2022-01-17 18:23:00|
3129|1007243|170|3589|1008382|640|V1|2022-01-06|87089499|6|156000.000|1|2022-01-06 15:25:00|
3129|1007238|170|3694|1079269|750|V1|2022-01-14|73181506|6|45000.000|1|2022-01-14 16:21:01|
3129|1007251|170|3801|1013601|240|V1|2022-01-11|73181503|6|36300.000|1|2022-01-11 12:45:00|
3129|1007236|170|3076|1113771|750|V1|2022-01-18|73182999|6|3150.000|1|2022-01-18 17:18:02|
3129|1007242|170|3076|1113357|750|V1|2022-01-05|73181506|6|18000.000|1|2022-01-05 15:18:01|
3129|1007251|170|3801|1013601|240|V1|2022-01-11|73182999|6|12100.000|1|2022-01-11 12:45:00|
3129|1007252|170|3076|1077259|750|V1|2022-01-11|73181604|6|4500.000|1|2022-01-12 08:54:01|
3129|1007251|170|3801|1013601|240|V1|2022-01-11|73181603|6|34700.000|1|2022-01-11 12:45:00|
3129|1007238|170|3694|1079269|750|V1|2022-01-14|73269099|6|154725.000|1|2022-01-14 16:21:01|
