Patente|Pedimento|SeccionAduanera|IndentFiscalDestinatario|NombreDestinatarioMercancia|CalleDestinatario|NumInteriorDestinatario|NumExteriorDestinatario|CpDestinatario|MunicpioDestinatario|PaisDestinatario|FechaPagoReal
3129|1007236|170|AME031107VA2|AUTOTEK MEXICO, S.A. DE C.V.|PROLONGACION DE LA CALLE F PARQUE INDUSTRIAL PUEBLA 2000|1|50|72225|PUEBLA|MEX|2022-01-18 17:18:02|
3129|1007252|170|GME0910144F2|GENI DE MEXICO S.A. DE C.V.|CARRETERA AL AEROPUERTO KM 2.7 CUARTO||S/N|74160|HUEJOTZINGO|MEX|2022-01-12 08:54:01|
3129|1007238|170|FME040429CL9|FORMEX MEXICO, S.A. DE C.V.|BLVD. MAGNA PARQUE INDUSTRIAL SANTA MARIA||1900|25903|RAMOS ARIZPE|MEX|2022-01-14 16:21:01|
3129|1007253|170|MET920131CN5|METALSA S.A.P.I. DE C.V.|CARRETERA MIGUEL ALEMAN KILOMETRO 16 CENTRO|S/N|100|66600|APODACA|MEX|2022-01-17 09:30:01|
3129|1007240|170|MDM9305078I0|MARTINREA DEVELOPMENTS DE MEXICO S.A. DE C.V.|CARRETERA ANTIGUA ARTEAGA||2653|25298|LA AURORA|MEX|2022-01-06 18:14:00|
3129|1007242|170|SLM101222EI4|SAN LUIS METAL FORMING S.A. DE C.V.|FRANKFURT PARQUE INDUSTRIAL LOGISTIC||201|79525|VILLA DE LOS REYES|MEX|2022-01-05 15:18:01|
3129|2001413|170|DAM170605KI4|DIGIT AUTOMOTIVE DE MEXICO S.A. DE C.V.|MUNICH LOGISTIK|L-2420|665|79526|VILLA DE REYES|MEX|2022-01-18 15:30:00|
3129|1007251|170|MMS951027KM6|MMG MANUFACTURAS DE SALTILLO S. DE R.L. DE C.V.|CARR. LIBRAMIENTO OSCAR FLORES TAPIA PARQUE INDUSTRIAL AMISTAD AEROPUERTO|LOTE 1|1905-10|25908|RAMOS ARIZPE|MEX|2022-01-11 12:45:00|
3129|1007246|170|MET920131CN5|METALSA S.A.P.I. DE C.V.|CARRETERA MIGUEL ALEMAN KILOMETRO 16 CENTRO|S/N|100|66600|APODACA|MEX|2022-01-17 09:26:00|
3129|1007244|170|FSA980318AL3|FAURECIA SISTEMAS AUTOMOTRICES DE MEXICO SA DE CV|AVE. CENTRAL PARQUE LOGISTICO EJE 140-365||200|78395|SAN LUIS POTOSI|MEX|2022-01-17 18:23:00|
3129|1007239|170|VAS990924U98|KIRCHHOFF AUTOMOTIVE MEXICO S.A DE C.V.|AV. LA NORIA PARQUE INDUSTRIAL QUERETARO||111|76220|QUERETARO|MEX|2022-01-07 10:45:00|
3129|1007245|170|IME111202P68|ISRINGHAUSEN MEXICO, S.A. DE C.V.|SERVIDUMBRE DE PASEO PARQUE INDUSTRIAL SANTA MONICA|LOTE V1|851|25300|VALLE DE DERRAMADERO|MEX|2022-01-12 08:54:01|
3129|1007243|170|INM060424AP3|INMETMATIC, S.A. DE C.V.|AVE. SANTA FE, CARRETERA 57, KM 57.8 PARQUE INDUSTRIAL OPCION||12|37980|GUANAJUATO|MEX|2022-01-06 15:25:00|
3129|1007258|170|VAM160129VE2|MAGNA SEATING PUEBLA S.A. DE C.V.|CARRETERA HUEJOTZINGO AEROPUERTO KM 0.4 CUARTO||S/N|74160|HUEJOTZINGO|MEX|2022-01-12 17:24:01|
3129|1007241|170|MCM001004IX7|MAGNA CLOSURES DE MEXICO S.A. DE C.V.|JUAN NAVARRO COL. FUNDADORES|S/N|390|25015|SALTILLO|MEX|2022-01-05 16:58:00|
3129|1007247|170|MSA040930ICA|MECHANISMS DE SALTILLO, S.A. DE C.V.|CALLE 17 AMPLIACION MORELOS||3626|25013|SALTILLO|MEX|2022-01-13 12:08:00|
