Patente|Pedimento|SeccionAduanera|Fraccion|SecuenciaFraccion|ClaveContribucion|FormaPago|ImportePago|FechaPagoReal
3251|2000163|160|73182202|3|3|21|9498|2022-01-13 16:07:01|
3251|2000019|160|73181606|2|3|21|55413|2022-01-04 13:53:01|
3251|2000025|160|73182302|4|3|21|11803|2022-01-04 16:26:01|
3251|2000163|160|87082999|7|6|5|5277|2022-01-13 16:07:01|
3251|2000163|160|73269099|6|3|21|13281|2022-01-13 16:07:01|
3251|2000164|160|73181599|1|3|21|77393|2022-01-13 16:08:00|
3251|2000024|160|73181606|2|3|21|151175|2022-01-04 16:26:01|
3172|2000087|640|73181606|2|3|21|24451|2022-01-21 16:02:01|
3251|2000162|160|73181599|1|3|21|24291|2022-01-13 17:02:02|
3251|2000163|160|87082999|7|3|21|17867|2022-01-13 16:07:01|
3251|2000027|160|73181599|1|3|21|8133|2022-01-04 14:00:01|
3251|2000100|160|94019099|6|3|21|82225|2022-01-07 16:32:11|
3251|2000023|160|73181606|2|3|21|303273|2022-01-04 16:25:03|
3251|2000024|160|73269099|3|3|21|28933|2022-01-04 16:26:01|
3251|2000025|160|73182999|5|3|21|55454|2022-01-04 16:26:01|
3251|2000022|160|73181599|1|3|21|10125|2022-01-04 16:25:02|
3251|2000023|160|73182999|3|3|21|52792|2022-01-04 16:25:03|
3251|2000161|160|73269099|5|3|21|284634|2022-01-13 16:09:00|
3251|2000020|160|73181599|1|3|21|28945|2022-01-04 13:53:02|
3251|2000099|160|73181599|1|3|21|102230|2022-01-07 16:17:01|
3251|2000019|160|73181599|1|3|21|9863|2022-01-04 13:53:01|
3251|2000099|160|73269099|5|3|21|29199|2022-01-07 16:17:01|
3251|2000161|160|73182302|4|3|21|5040|2022-01-13 16:09:00|
3251|2000026|160|73181599|1|3|21|2142|2022-01-04 13:53:03|
3251|2000162|160|73181606|2|3|21|116213|2022-01-13 17:02:02|
3251|2000026|160|73182302|4|3|21|3142|2022-01-04 13:53:03|
3251|2000025|160|87089412|7|3|21|42971|2022-01-04 16:26:01|
3251|2000025|160|73269099|6|3|21|26682|2022-01-04 16:26:01|
3251|2000164|160|87089412|5|3|21|42778|2022-01-13 16:08:00|
3251|2000023|160|73181599|1|3|21|70549|2022-01-04 16:25:03|
3251|2000161|160|73181599|1|3|21|20509|2022-01-13 16:09:00|
3251|2000164|160|73181606|3|3|21|107828|2022-01-13 16:08:00|
3251|2000021|160|73269099|4|3|21|88636|2022-01-04 16:25:01|
3251|2000022|160|73181606|2|3|21|62476|2022-01-04 16:25:02|
3251|2000165|160|73181606|3|3|21|88086|2022-01-13 16:08:01|
3251|2000165|160|73181606|4|3|21|4447|2022-01-13 16:08:01|
3251|2000020|160|73181606|2|3|21|52155|2022-01-04 13:53:02|
3251|2000161|160|73181606|3|3|21|95096|2022-01-13 16:09:00|
3251|2000027|160|73182302|3|3|21|9678|2022-01-04 14:00:01|
3251|2000022|160|73269099|3|3|21|102914|2022-01-04 16:25:02|
3251|2000100|160|73181599|2|3|21|23265|2022-01-07 16:32:11|
3251|2000026|160|73181606|3|3|21|59009|2022-01-04 13:53:03|
3251|2000164|160|73181599|2|3|21|5707|2022-01-13 16:08:00|
3251|2000100|160|73182302|4|3|21|8024|2022-01-07 16:32:11|
3251|2000026|160|73181599|2|3|21|3931|2022-01-04 13:53:03|
3251|2000021|160|73181606|3|3|21|121256|2022-01-04 16:25:01|
3251|2000099|160|73181599|2|3|21|5439|2022-01-07 16:17:01|
3251|2000163|160|73182302|4|3|21|64306|2022-01-13 16:07:01|
3251|2000100|160|73269099|5|3|21|105335|2022-01-07 16:32:11|
3251|2000163|160|73181606|2|3|21|308111|2022-01-13 16:07:01|
3251|2000163|160|73181599|1|3|21|94965|2022-01-13 16:07:01|
3251|2000019|160|73269099|3|3|21|310058|2022-01-04 13:53:01|
3251|2000021|160|73181599|1|3|21|14356|2022-01-04 16:25:01|
3251|2000161|160|73181599|2|3|21|19210|2022-01-13 16:09:00|
3251|2000027|160|73269099|5|3|21|104378|2022-01-04 14:00:01|
3251|2000165|160|73181599|1|3|21|9790|2022-01-13 16:08:01|
3251|2000162|160|73269099|4|3|21|95168|2022-01-13 17:02:02|
3251|2000025|160|73181606|2|3|21|241971|2022-01-04 16:26:01|
3251|2000163|160|73182999|5|3|21|59196|2022-01-13 16:07:01|
3172|2000002|640|73269099|1|3|21|2343|2022-01-05 15:51:05|
3251|2000165|160|73181599|2|3|21|6226|2022-01-13 16:08:01|
3251|2000100|160|73181606|3|3|21|249989|2022-01-07 16:32:11|
3251|2000027|160|73181606|2|3|21|83768|2022-01-04 14:00:01|
3251|2000164|160|73182999|4|3|21|9009|2022-01-13 16:08:00|
3251|2000020|160|73269099|3|3|21|158389|2022-01-04 13:53:02|
3129|2000106|240|73181606|1|3|21|13142|2022-01-19 13:20:32|
3251|2000162|160|73182302|3|3|21|5113|2022-01-13 17:02:02|
3251|2000027|160|73182999|4|3|21|22486|2022-01-04 14:00:01|
3172|2000016|640|73181606|1|3|21|43236|2022-01-05 15:51:05|
3251|2000099|160|73182999|4|3|21|68550|2022-01-07 16:17:01|
3251|2000026|160|73269099|5|3|21|301455|2022-01-04 13:53:03|
3172|2000087|640|73181606|1|3|21|5103|2022-01-21 16:02:01|
3251|2000024|160|73181599|1|3|21|12507|2022-01-04 16:26:01|
3172|2000016|640|73181606|2|3|21|36145|2022-01-05 15:51:05|
3251|2000099|160|73181606|3|3|21|103003|2022-01-07 16:17:01|
3251|2000165|160|73269099|5|3|21|107678|2022-01-13 16:08:01|
3251|2000025|160|73181599|1|3|21|37376|2022-01-04 16:26:01|
3251|2000100|160|73181599|1|3|21|23603|2022-01-07 16:32:11|
3251|2000021|160|73181599|2|3|21|6611|2022-01-04 16:25:01|
3251|2000025|160|73182202|3|3|21|15936|2022-01-04 16:26:01|
