Patente|Pedimento|SeccionAduanera|ConsecutivoRemesa|NumeroSeleccion|FechaSeleccion|HoraSeleccion|SemaforoFiscal|ClaveDocumento|TipoOperacion
3129|1007243|170|0|1|2022-01-06|15:25|1|V1|2|
3251|2000100|160|0|1|2022-01-13|09:02|1|IN|1|
3129|2000106|240|0|1|2022-01-19|15:24|1|IN|1|
3251|2000026|160|0|1|2022-01-07|08:11|1|IN|1|
3172|2000002|640|0|1|2022-01-05|17:33|1|IN|1|
3129|1007246|170|0|1|2022-01-17|09:26|1|V1|2|
3251|2000164|160|0|1|2022-01-19|16:55|1|IN|1|
3251|2000163|160|0|1|2022-01-18|11:59|1|IN|1|
3251|2000024|160|0|1|2022-01-12|15:19|1|IN|1|
3251|2000162|160|0|1|2022-01-18|08:08|1|IN|1|
3129|1007245|170|0|1|2022-01-12|08:54|1|V1|2|
3251|2000022|160|0|1|2022-01-11|07:55|1|IN|1|
3251|2000021|160|0|1|2022-01-11|07:55|1|IN|1|
3251|2000019|160|0|1|2022-01-07|08:15|1|IN|1|
3129|1007244|170|0|1|2022-01-17|18:23|1|V1|2|
3251|2000027|160|0|1|2022-01-07|10:58|1|IN|1|
3129|1007236|170|0|1|2022-01-18|17:18|1|V1|2|
3129|1007253|170|0|1|2022-01-17|09:30|1|V1|2|
3129|1007240|170|0|1|2022-01-06|18:14|1|V1|2|
3129|1007252|170|0|1|2022-01-12|08:54|1|V1|2|
3251|2000025|160|0|1|2022-01-11|13:40|0|IN|1|
3129|1007242|170|0|1|2022-01-05|15:18|1|V1|2|
3129|1007247|170|0|1|2022-01-13|12:08|1|V1|2|
3251|2000099|160|0|1|2022-01-13|13:24|1|IN|1|
3251|2000161|160|0|1|2022-01-18|08:42|1|IN|1|
3251|2000165|160|0|1|2022-01-19|07:27|1|IN|1|
3172|2000087|640|0|1|2022-01-24|11:16|1|IN|1|
3129|1007241|170|0|1|2022-01-05|16:58|1|V1|2|
3172|2000016|640|0|1|2022-01-05|17:33|1|IN|1|
3129|2001413|170|0|1|2022-01-18|15:30|1|V1|2|
3251|2000020|160|0|1|2022-01-07|10:58|1|IN|1|
3129|1007239|170|0|1|2022-01-07|10:45|1|V1|2|
3129|1007251|170|0|1|2022-01-11|12:45|1|V1|2|
3129|1007238|170|0|1|2022-01-14|16:21|1|V1|2|
3129|1007258|170|0|1|2022-01-12|17:24|1|V1|2|
3251|2000023|160|0|1|2022-01-10|08:45|1|IN|1|
