Patente|Pedimento|SeccionAduanera|NumeroGuia|TipoGuia|FechaPagoReal
3251|2000021|160|TWN0610652|M|2022-01-04 16:25:01|
3251|2000026|160|TWN0614038|M|2022-01-04 13:53:03|
3251|2000020|160|TWN0601310|M|2022-01-04 13:53:02|
3251|2000100|160|TWN0618375|M|2022-01-07 16:32:11|
3251|2000027|160|TWN0614038|M|2022-01-04 14:00:01|
3172|2000087|640|438661634902|H|2022-01-21 16:02:01|
3172|2000016|640|023-63213382|M|2022-01-05 15:51:05|
3251|2000164|160|TWN0621344|M|2022-01-13 16:08:00|
3251|2000163|160|TWN0621344|M|2022-01-13 16:07:01|
3172|2000087|640|023-63361830|M|2022-01-21 16:02:01|
3172|2000002|640|023-63185662|M|2022-01-05 15:51:05|
3251|2000162|160|TWN0621326|M|2022-01-13 17:02:02|
3251|2000022|160|TWN0622875|M|2022-01-04 16:25:02|
3172|2000002|640|438661634604|H|2022-01-05 15:51:05|
3172|2000016|640|438661634729|H|2022-01-05 15:51:05|
3251|2000161|160|TWN0621326|M|2022-01-13 16:09:00|
3251|2000023|160|TWN0610656|M|2022-01-04 16:25:03|
3251|2000019|160|TWN0601310|M|2022-01-04 13:53:01|
3251|2000024|160|TWN0614029|M|2022-01-04 16:26:01|
3251|2000099|160|TWN0618439|M|2022-01-07 16:17:01|
3251|2000025|160|TWN0616296|M|2022-01-04 16:26:01|
3251|2000165|160|TWN0621336|M|2022-01-13 16:08:01|
