Patente|Pedimento|SeccionAduanera|NumContenedor|TipoContenedor|FechaPagoReal
3251|2000100|160|TCNU1168680|3|2022-01-07 16:32:11|
3251|2000163|160|APHU6751983|3|2022-01-13 16:07:01|
3251|2000027|160|TGHU9834228|3|2022-01-04 14:00:01|
3251|2000026|160|TCNU3566281|3|2022-01-04 13:53:03|
3251|2000163|160|TGHU6341927|3|2022-01-13 16:07:01|
3251|2000100|160|APHU6848443|3|2022-01-07 16:32:11|
3251|2000165|160|TRLU7362740|3|2022-01-13 16:08:01|
3251|2000025|160|BEAU5217911|3|2022-01-04 16:26:01|
3129|2000106|240|VZ-6935-A|68|2022-01-19 13:20:32|
3251|2000022|160|TCNU2660267|3|2022-01-04 16:25:02|
3251|2000021|160|TCNU3935841|3|2022-01-04 16:25:01|
3251|2000026|160|BEAU4149514|3|2022-01-04 13:53:03|
3251|2000020|160|TCNU4289474|3|2022-01-04 13:53:02|
3251|2000161|160|CAAU6266419|3|2022-01-13 16:09:00|
3251|2000024|160|GESU5630429|3|2022-01-04 16:26:01|
3251|2000162|160|GESU5528720|3|2022-01-13 17:02:02|
3251|2000161|160|CMAU6883946|3|2022-01-13 16:09:00|
3251|2000019|160|TRLU6706898|3|2022-01-04 13:53:01|
3251|2000019|160|TRHU5461621|3|2022-01-04 13:53:01|
3251|2000164|160|CMAU7482444|3|2022-01-13 16:08:00|
3251|2000023|160|TCLU9106835|3|2022-01-04 16:25:03|
3251|2000025|160|TEMU7369779|3|2022-01-04 16:26:01|
3251|2000023|160|APHU6562254|3|2022-01-04 16:25:03|
3251|2000099|160|RFCU5063202|3|2022-01-07 16:17:01|
