Patente|Pedimento|SeccionAduanera|FechaFacturacion|NumeroFactura|TerminoFacturacion|MonedaFacturacion|ValorDolares|ValorMonedaExtranjera|PaisFacturacion|EntidadFedFacturacion|IndentFiscalProveedor|ProveedorMercancia|CalleProveedor|NumInteriorProveedor|NumExteriorProveedor|CpProveedor|MunicipioProveedor|FechaPagoReal
3129|2000106|240||COVE224VJ9AH6|DAP| |0.00|0.00| | |27-931864|NES LIMITED||||||2022-01-19 13:20:32|
3251|2000099|160|2021-12-01|COVE214UTSTP2|DAP|USD|93401.85|93401.85|TWN| |27-931864|NES LIMITED|SEC.2 SHIN-HEI ROAD||37|10660|TAIPEI|2022-01-07 16:17:01|
3172|2000016|640||COVE224UZ0G98|DAP| |0.00|0.00| | |27-931864|NES LIMITED||||||2022-01-05 15:51:05|
3251|2000022|160|2021-11-17|COVE214UO3AP7|DAP|USD|53045.33|53045.33|TWN| |27-931864|NES LIMITED|SEC.2 SHIN-HEI ROAD||37|10660|TAIPEI|2022-01-04 16:25:02|
3251|2000100|160|2021-12-01|COVE224V329C1|DAP|USD|90014.61|90014.61|TWN| |27-931864|NES LIMITED|SEC.2 SHIN-HEI ROAD||37|10660|TAIPEI|2022-01-07 16:32:11|
3251|2000026|160|2021-11-24|COVE214UPDMQ1|DAP|USD|52881.06|52881.06|TWN| |27-931864|NES LIMITED|SEC.2 SHIN-HEI ROAD||37|10660|TAIPEI|2022-01-04 13:53:03|
3251|2000162|160|2021-12-08|COVE224V8HI54|DAP|USD|73099.73|73099.73|TWN| |27-931864|NES LIMITED|SEC.2 SHIN-HEI ROAD||37|10660|TAIPEI|2022-01-13 17:02:02|
3251|2000165|160|2021-12-08|COVE224V8PQD5|DAP|USD|65643.56|65643.56|TWN| |27-931864|NES LIMITED|SEC.2 SHIN-HEI ROAD||37|10660|TAIPEI|2022-01-13 16:08:01|
3251|2000161|160|2021-12-08|COVE224V8FM63|DAP|USD|66928.06|66928.06|TWN| |27-931864|NES LIMITED|SEC.2 SHIN-HEI ROAD||37|10660|TAIPEI|2022-01-13 16:09:00|
3172|2000087|640||COVE224VQFQH7|DAP| |0.00|0.00| | |27-931864|NES LIMITED||||||2022-01-21 16:02:01|
