Patente|Pedimento|SeccionAduanera|ClaveCaso|IdentificadorCaso|TipoPedimento|ComplementoCaso|FechaValidacionPagoR
3251|2000163|160|CI|A|1||2022-01-13 16:07:01|
3172|2000002|640|ED|0192220NXVVN2|1||2022-01-05 15:51:05|
3129|1007253|170|SO|AA|1||2022-01-17 09:30:01|
3172|2000016|640|CR|210|1||2022-01-05 15:51:05|
3129|1007251|170|IM|6192010|1||2022-01-11 12:45:00|
3172|2000087|640|CI|A|1||2022-01-21 16:02:01|
3251|2000020|160|ED|0438210NSG5I8|1||2022-01-04 13:53:02|
3129|1007240|170|IM|6192010|1||2022-01-06 18:14:00|
3129|1007251|170|ST|4|1||2022-01-11 12:45:00|
3172|2000002|640|ED|0438220NV4Y47|1||2022-01-05 15:51:05|
3172|2000087|640|ED|0192220O3NQN2|1||2022-01-21 16:02:01|
3129|1007242|170|V1|2582011|1|IM|2022-01-05 15:18:01|
3251|2000022|160|MS|1|1||2022-01-04 16:25:02|
3129|1007236|170|PC||1||2022-01-18 17:18:02|
3251|2000163|160|ED|0192220O0YIU7|1||2022-01-13 16:07:01|
3251|2000024|160|IM|6192010|1||2022-01-04 16:26:01|
3251|2000100|160|ED|0192220NXHDR2|1||2022-01-07 16:32:11|
3251|2000026|160|ED|0192210NVSXP2|1||2022-01-04 13:53:03|
3129|1007258|170|MS|1|1||2022-01-12 17:24:01|
3129|1007247|170|PC||1||2022-01-13 12:08:00|
3251|2000021|160|MS|1|1||2022-01-04 16:25:01|
3251|2000100|160|ED|0192220NXHDZ2|1||2022-01-07 16:32:11|
3129|1007238|170|ST|4|1||2022-01-14 16:21:01|
3129|1007244|170|IM|6192010|1||2022-01-17 18:23:00|
3251|2000099|160|IM|6192010|1||2022-01-07 16:17:01|
3172|2000016|640|MS|1|1||2022-01-05 15:51:05|
3251|2000161|160|MS|1|1||2022-01-13 16:09:00|
3172|2000002|640|IM|6192010|1||2022-01-05 15:51:05|
3129|1007241|170|IM|6192010|1||2022-01-05 16:58:00|
3129|1007245|170|MS|1|1||2022-01-12 08:54:01|
3129|1007252|170|ST|4|1||2022-01-12 08:54:01|
3251|2000100|160|CI|A|1||2022-01-07 16:32:11|
3251|2000019|160|ED|0192210NVJ0K8|1||2022-01-04 13:53:01|
3251|2000162|160|ED|0438220NY1P98|1||2022-01-13 17:02:02|
3251|2000162|160|IM|6192010|1||2022-01-13 17:02:02|
3129|1007241|170|PC||1||2022-01-05 16:58:00|
3251|2000022|160|ED|0192210NVIX78|1||2022-01-04 16:25:02|
3129|1007239|170|V1|34922006|1|IM|2022-01-07 10:45:00|
3129|2001413|170|V1|1252018|1|IM|2022-01-18 15:30:00|
3251|2000019|160|ED|0192210NVJ0O5|1||2022-01-04 13:53:01|
3129|1007258|170|PC||1||2022-01-12 17:24:01|
3129|1007258|170|V1|662017|1|IM|2022-01-12 17:24:01|
3129|1007241|170|V1|29512006|1|IM|2022-01-05 16:58:00|
3251|2000021|160|CI|A|1||2022-01-04 16:25:01|
3251|2000019|160|CI|A|1||2022-01-04 13:53:01|
3129|1007241|170|ST|4|1||2022-01-05 16:58:00|
3251|2000027|160|IM|6192010|1||2022-01-04 14:00:01|
3251|2000025|160|CI|A|1||2022-01-04 16:26:01|
3251|2000025|160|ED|0192210NVKLT7|1||2022-01-04 16:26:01|
3251|2000163|160|IM|6192010|1||2022-01-13 16:07:01|
3129|1007240|170|V1|55652006|1|IM|2022-01-06 18:14:00|
3251|2000027|160|CR|241|1||2022-01-04 14:00:01|
3129|1007242|170|ST|4|1||2022-01-05 15:18:01|
3251|2000100|160|ED|0438220NU5NC7|1||2022-01-07 16:32:11|
3129|1007238|170|V1|37832006|1|IM|2022-01-14 16:21:01|
3129|2001413|170|ST|4|1||2022-01-18 15:30:00|
3251|2000099|160|CR|241|1||2022-01-07 16:17:01|
3129|2000106|240|SO|AA|1||2022-01-19 13:20:32|
3172|2000087|640|ED|0438220O2KVK7|1||2022-01-21 16:02:01|
3129|1007239|170|SO|AA|1||2022-01-07 10:45:00|
3129|1007258|170|IM|6192010|1||2022-01-12 17:24:01|
3251|2000099|160|CI|A|1||2022-01-07 16:17:01|
3129|1007244|170|MS|1|1||2022-01-17 18:23:00|
3172|2000087|640|IM|6192010|1||2022-01-21 16:02:01|
3251|2000027|160|MS|1|1||2022-01-04 14:00:01|
3251|2000162|160|CR|241|1||2022-01-13 17:02:02|
3129|1007243|170|MS|1|1||2022-01-06 15:25:00|
3129|1007251|170|SO|AA|1||2022-01-11 12:45:00|
3129|1007251|170|MS|1|1||2022-01-11 12:45:00|
3129|1007243|170|IM|6192010|1||2022-01-06 15:25:00|
3172|2000016|640|ED|0192220NXVWL1|1||2022-01-05 15:51:05|
3251|2000165|160|IM|6192010|1||2022-01-13 16:08:01|
3129|1007236|170|SO|AA|1||2022-01-18 17:18:02|
3251|2000162|160|CI|A|1||2022-01-13 17:02:02|
