Patente|Pedimento|SeccionAduanera|ClaveContribucion|TasaContribucion|TipoTasa|TipoPedimento|FechaPagoReal
3129|1007244|170|1|378.00000|4|1|2022-01-17 18:23:00|
3129|1007240|170|15|240.00000|2|1|2022-01-06 18:14:00|
3129|1007241|170|23|16.00000|1|1|2022-01-05 16:58:00|
3129|1007253|170|15|240.00000|2|1|2022-01-17 09:30:01|
3129|1007247|170|23|16.00000|1|1|2022-01-13 12:08:00|
3251|2000165|160|23|16.00000|1|1|2022-01-13 16:08:01|
3251|2000100|160|1|378.00000|4|1|2022-01-07 16:32:11|
3129|1007244|170|15|240.00000|2|1|2022-01-17 18:23:00|
3172|2000016|640|1|378.00000|4|1|2022-01-05 15:51:05|
3129|1007246|170|1|378.00000|4|1|2022-01-17 09:26:00|
3251|2000162|160|1|378.00000|4|1|2022-01-13 17:02:02|
3251|2000026|160|15|240.00000|2|1|2022-01-04 13:53:03|
3251|2000163|160|15|240.00000|2|1|2022-01-13 16:07:01|
3129|2000106|240|23|16.00000|1|1|2022-01-19 13:20:32|
3251|2000026|160|1|378.00000|4|1|2022-01-04 13:53:03|
3129|1007258|170|15|240.00000|2|1|2022-01-12 17:24:01|
3129|1007246|170|23|16.00000|1|1|2022-01-17 09:26:00|
3251|2000163|160|1|378.00000|4|1|2022-01-13 16:07:01|
3129|1007252|170|23|16.00000|1|1|2022-01-12 08:54:01|
3129|1007251|170|15|240.00000|2|1|2022-01-11 12:45:00|
3251|2000020|160|23|16.00000|1|1|2022-01-04 13:53:02|
3129|1007238|170|1|378.00000|4|1|2022-01-14 16:21:01|
3129|1007247|170|11|2130.00000|4|1|2022-01-13 12:08:00|
3251|2000023|160|23|16.00000|1|1|2022-01-04 16:25:03|
3251|2000027|160|23|16.00000|1|1|2022-01-04 14:00:01|
3251|2000022|160|23|16.00000|1|1|2022-01-04 16:25:02|
3129|1007242|170|23|16.00000|1|1|2022-01-05 15:18:01|
3251|2000164|160|1|378.00000|4|1|2022-01-13 16:08:00|
