Patente|Pedimento|SeccionAduanera|Fraccion|SecuenciaFraccion|SubdivisionFraccion|DescripcionMercancia|PrecioUnitario|ValorAduana|ValorComercial|ValorDolares|CantidadUMComercial|UnidadMedidaComercial|CantidadUMTarifa|UnidadMedidaTarifa|ValorAgregado|ClaveVinculacion|MetodoValorizacion|CodigoMercanciaProducto|MarcaMercanciaProducto|ModeloMercanciaProducto|PaisOrigenDestino|PaisCompradorVendedor|EntidadFedOrigen|EntidadFedDestino|EntidadFedComprador|EntidadFedVendedor|TipoOperacion|ClaveDocumento|FechaPagoReal
3251|2000025|160|73182202|3|99|ARANDELA DE ACERO|1.17633|98812|98812|4816.40|84000.000|6|493.60000|1|0|0|6||||TWN|TWN| | | | |1|IN|2022-01-04 16:26:01|
3129|1007246|170|73181599|1|99|PERNO CON ROSCA|9.16232|0|365027|17928.00|39840.000|6|3572.32000|1|0|0|0||||MEX|TWN| | | | |2|V1|2022-01-17 09:26:00|
3129|1007251|170|73182999|3|99|PERNO DE ACERO|2.04240|0|24713|1210.00|12100.000|6|246.84000|1|0|0|0||||MEX|TWN| | | | |2|V1|2022-01-11 12:45:00|
3251|2000100|160|94019099|6|01|PARTE DE ASIENTO DE USO AUTOMOTRIZ|110.63954|509827|509827|24900.94|4608.000|6|3206.40000|1|0|0|6||||TWN|TWN| | | | |1|IN|2022-01-07 16:32:11|
3129|1007236|170|73181599|1|03|TORNILLO DE ACERO DE USO AUTOMOTRIZ|1.06100|0|116286|5725.04|109600.000|6|1434.32000|1|0|0|0||||MEX|TWN| | | | |2|V1|2022-01-18 17:18:02|
3129|1007243|170|73181606|3|03|TUERCA DE ACERO|0.94911|0|705565|34461.19|743400.000|6|14097.03000|1|0|0|0||||MEX|TWN| | | | |2|V1|2022-01-06 15:25:00|
3172|2000016|640|73181606|2|03|TUERCAS DE ACERO|74.70533|224116|224116|10950.00|3000.000|6|375.00000|1|0|0|1||||TWN|TWN| | | | |1|IN|2022-01-05 15:51:05|
3129|1007244|170|73182999|11|99|PIN METALICO|1.62071|0|72608|3566.08|44800.000|6|1180.16000|1|0|0|0||||MEX|TWN| | | | |2|V1|2022-01-17 18:23:00|
3129|1007246|170|73269099|3|99|GANCHO DE ACERO|9.84888|0|1467188|72059.79|148970.000|6|24429.32000|1|0|0|0||||MEX|TWN| | | | |2|V1|2022-01-17 09:26:00|
3129|1007251|170|73181599|1|03|TORNILLO DE ACERO DE USO AUTOMOTRIZ|0.74843|0|27168|1330.23|36300.000|6|322.54000|1|0|0|0||||MEX|TWN| | | | |2|V1|2022-01-11 12:45:00|
