Patente|Pedimento|SeccionAduanera|Fraccion|SecuenciaFraccion|SecuenciaObservacion|Observaciones|FechaPagoReal
3251|2000165|160|73181606|3|2|16 (NZ6A-624C42-BB).|2022-01-13 16:08:01|
3172|2000087|640|73181606|2|1|NO. DE PARTE: 3529556-01 FACTURA No.: IVT220003|2022-01-21 16:02:01|
3251|2000019|160|73181599|1|1|FACT IVT210454 ORD 2 (390804R01/00).|2022-01-04 13:53:01|
3251|2000021|160|73181606|3|1|FACT IVT210451 ORD 1 (CM0726), 4 (NZ6A-624C42-BA), 5 (NZ6A-624C42-BB), 7 (CM0629), 8 (CM0653), 9 (CM0785), 10 (CM0666A)|2022-01-04 16:25:01|
3251|2000163|160|73182999|5|1|FACT IVT210478 ORD 1 (1157614X-08).|2022-01-13 16:07:01|
3251|2000019|160|73269099|3|1|FACT IVT210454 ORD 1 (110009DA), 3 (020531AC), 4 (00182008). FACT IVT210455 ORD 1 (60962AB), 2 (68021AB), 3 (68024AB),|2022-01-04 13:53:01|
3251|2000161|160|73182302|4|1|FACT IVT210481 ORD 18 (M502192C).|2022-01-13 16:09:00|
3251|2000020|160|73181599|1|1|FACT IVT210456 ORD 6 (110008AA).|2022-01-04 13:53:02|
3251|2000027|160|73182302|3|1|FACT IVT210465 ORD 12 (3042836C).|2022-01-04 14:00:01|
3251|2000023|160|73181606|2|1|FACT IVT210452 ORD 2 (PC09003-AB). FACT IVT210453 ORD 3 (PC50028-AB), 4 (P2002250), 5 (2757510X-01), 7 (PC50038-AB), 11|2022-01-04 16:25:03|
3251|2000099|160|73181606|3|2|(88380.20.001.01), 13 (P2002250), 16 (PC05003-AA), 17 (PC05008-AA).|2022-01-07 16:17:01|
3251|2000165|160|73181606|4|1|FACT IVT210476 ORD 1 (460138300).|2022-01-13 16:08:01|
3251|2000026|160|73269099|5|2|, 4 (110085C), 5 (110091C), 6 (110092D), 9 (60962AB), 10 (68023AB).|2022-01-04 13:53:03|
3251|2000165|160|73269099|5|1|FACT IVT210476 ORD 5 (CM0667), 8 (CM0776), 9 (CM0778A), 10 (CM0780A).|2022-01-13 16:08:01|
3251|2000025|160|73181606|2|2|(P2002250), 8 (P2232253). FACT IVT210462 ORD 11 (PC05003-AA), 12 (PC09001-AA).|2022-01-04 16:26:01|
3251|2000161|160|73269099|5|2|14 (390039-01/07), 15 (60962AB), 16 (68021AB), 17 (68024AB). FACT IVT210480 ORD 1 (00182008), 3 (020530AC), 4|2022-01-13 16:09:00|
3251|2000162|160|73269099|4|1|FACT IVT210482 ORD 1 (00182010), 6 (020001DA), 7 (110005CA), 8 (110017BA).|2022-01-13 17:02:02|
3251|2000027|160|73269099|5|2|(68021AB), 16 (68024AB).|2022-01-04 14:00:01|
3251|2000026|160|73181599|1|1|FACT IVT210463 ORD 7 (3035601B). FACT IVT210464 ORD 8 (3021327B).|2022-01-04 13:53:03|
3251|2000099|160|73181599|2|1|FACT IVT210468 ORD 14 (P2031950).|2022-01-07 16:17:01|
3251|2000019|160|73269099|3|2|5 (00182008).|2022-01-04 13:53:01|
3251|2000022|160|73181599|1|1|FACT IVT210450 ORD 3 (CM0636).|2022-01-04 16:25:02|
3251|2000027|160|73181606|2|1|FACT IVT210465 ORD 2 (00182043), 3 (00182059), 6 (100964650001), 13 (66354AB), 14 (66360AB), 17 (PP0395-R010).|2022-01-04 14:00:01|
3172|2000016|640|73181606|1|1|NO. DE PARTE: 3529554-01 FACTURA No.: IVT220001|2022-01-05 15:51:05|
3251|2000161|160|73181599|1|1|FACT IVT210481 ORD 13 (3024729H). FACT IVT210480 ORD 7 (390804R01/00).|2022-01-13 16:09:00|
3251|2000021|160|73181599|1|1|FACT IVT210451 ORD 12 (GP2_KQ5CA0B0BP), 13 (CM0790).|2022-01-04 16:25:01|
3251|2000161|160|73181606|3|2|(PP0395-R010).|2022-01-13 16:09:00|
3251|2000100|160|73181606|3|1|FACT IVT210467 ORD 2 (00182043), 3 (00182059), 4 (00222002), 6 (00232012), 7 (6101914), 8 (PP-23469152). FACT IVT210466|2022-01-07 16:32:11|
3251|2000026|160|73182302|4|1|FACT IVT210464 ORD 7 (2227745X-03), 11 (M502190C).|2022-01-04 13:53:03|
3251|2000100|160|73181599|1|1|FACT IVT210466 ORD 7 (390804R01/00), 10 (PP8685-003).|2022-01-07 16:32:11|
3251|2000099|160|73181599|1|1|FACT IVT210468 ORD 4 (2701158X-02), 10 (4460226-05), 12 (9453486-10).|2022-01-07 16:17:01|
3251|2000099|160|73181606|3|1|FACT IVT210468 ORD 2 (1899355X-01), 5 (2757510X-01), 7 (3529554-01), 8 (3529556-01), 9 (4437406-08), 11|2022-01-07 16:17:01|
3251|2000163|160|87082999|7|1|FACT IVT210477 ORD 10 (PC50056-AB).|2022-01-13 16:07:01|
3251|2000100|160|73269099|5|1|FACT IVT210467 ORD 1 (00182008), 5 (00222006). FACT IVT210466 ORD 5 (00252009).|2022-01-07 16:32:11|
3251|2000025|160|73182999|5|1|FACT IVT210462 ORD 1 (1157614X-08), 7 (2460799X-01), 8 (2568783X-01).|2022-01-04 16:26:01|
3251|2000026|160|73181599|2|1|FACT IVT210463 ORD 5 (110008AA).|2022-01-04 13:53:03|
3251|2000027|160|73181599|1|1|FACT IVT210465 ORD 1 (00182017).|2022-01-04 14:00:01|
3251|2000024|160|73181599|1|1|FACT IVT210460 ORD 9 (CM0830).|2022-01-04 16:26:01|
3251|2000099|160|73182999|4|1|FACT IVT210468 ORD 1 (1157614X-08), 3 (2460800X-01), 6 (2828619X-01).|2022-01-07 16:17:01|
3251|2000164|160|73181606|3|2|(PC50038-AB).|2022-01-13 16:08:00|
